Stats,,,,,,,,,
Total Exited,2037,,,,,,,,
Total Records,10000,,,,,,,,
exit ratio,20.40%,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,RowNumber,Exited,Probability,Total Select,Total Select Percent,Random Select,Random Select,Model Select,Model Select Percent
,9965,0,0.253425264,3058,0.3058,622.9146,0.3058,1198,58.80%
,8496,1,0.253408457,3059,0.3059,623.1183,0.3059,1199,58.90%
,9921,1,0.253370499,3060,0.306,623.322,0.306,1200,58.90%
,8359,1,0.25336419,3061,0.3061,623.5257,0.3061,1201,59.00%
,7142,0,0.253343087,3062,0.3062,623.7294,0.3062,1201,59.00%
,9884,0,0.253324391,3063,0.3063,623.9331,0.3063,1201,59.00%
,1932,1,0.253301776,3064,0.3064,624.1368,0.3064,1202,59.00%
,2861,0,0.253269934,3065,0.3065,624.3405,0.3065,1202,59.00%
,1726,0,0.253220511,3066,0.3066,624.5442,0.3066,1202,59.00%
,3347,0,0.253123835,3067,0.3067,624.7479,0.3067,1202,59.00%
,9183,0,0.253100389,3068,0.3068,624.9516,0.3068,1202,59.00%
,830,0,0.253093193,3069,0.3069,625.1553,0.3069,1202,59.00%
,6561,0,0.25298771,3070,0.307,625.359,0.307,1202,59.00%
,6997,0,0.25297704,3071,0.3071,625.5627,0.3071,1202,59.00%
,9576,0,0.252892708,3072,0.3072,625.7664,0.3072,1202,59.00%
,6050,0,0.252690718,3073,0.3073,625.9701,0.3073,1202,59.00%
,7691,0,0.252651278,3074,0.3074,626.1738,0.3074,1202,59.00%
,9519,0,0.252487122,3075,0.3075,626.3775,0.3075,1202,59.00%
,6049,0,0.252471675,3076,0.3076,626.5812,0.3076,1202,59.00%
,8048,0,0.252445796,3077,0.3077,626.7849,0.3077,1202,59.00%
,8271,0,0.252401203,3078,0.3078,626.9886,0.3078,1202,59.00%
,1714,0,0.252280856,3079,0.3079,627.1923,0.3079,1202,59.00%
,4880,1,0.25215288,3080,0.308,627.396,0.308,1203,59.10%
,2132,0,0.252047082,3081,0.3081,627.5997,0.3081,1203,59.10%
,5198,0,0.252025229,3082,0.3082,627.8034,0.3082,1203,59.10%
,6052,0,0.251938055,3083,0.3083,628.0071,0.3083,1203,59.10%
,462,0,0.251937629,3084,0.3084,628.2108,0.3084,1203,59.10%
,9987,0,0.251904712,3085,0.3085,628.4145,0.3085,1203,59.10%
,1161,1,0.251743457,3086,0.3086,628.6182,0.3086,1204,59.10%
,4238,0,0.251738484,3087,0.3087,628.8219,0.3087,1204,59.10%
,3709,0,0.251559548,3088,0.3088,629.0256,0.3088,1204,59.10%
,5074,0,0.25149436,3089,0.3089,629.2293,0.3089,1204,59.10%
,2156,0,0.251409647,3090,0.309,629.433,0.309,1204,59.10%
,6703,1,0.251366749,3091,0.3091,629.6367,0.3091,1205,59.20%
,7388,0,0.251345103,3092,0.3092,629.8404,0.3092,1205,59.20%
,1119,0,0.251332986,3093,0.3093,630.0441,0.3093,1205,59.20%
,7407,0,0.251327633,3094,0.3094,630.2478,0.3094,1205,59.20%
,6779,0,0.25117492,3095,0.3095,630.4515,0.3095,1205,59.20%
,1533,0,0.251142784,3096,0.3096,630.6552,0.3096,1205,59.20%
,8159,0,0.251104089,3097,0.3097,630.8589,0.3097,1205,59.20%
,16,0,0.251085113,3098,0.3098,631.0626,0.3098,1205,59.20%
,3025,0,0.251042605,3099,0.3099,631.2663,0.3099,1205,59.20%
,9049,0,0.251037963,3100,0.31,631.47,0.31,1205,59.20%
,4083,1,0.250952276,3101,0.3101,631.6737,0.3101,1206,59.20%
,9404,0,0.250949299,3102,0.3102,631.8774,0.3102,1206,59.20%
,1700,0,0.250904433,3103,0.3103,632.0811,0.3103,1206,59.20%
,3587,0,0.250886008,3104,0.3104,632.2848,0.3104,1206,59.20%
,9971,0,0.250869422,3105,0.3105,632.4885,0.3105,1206,59.20%
,6960,0,0.250836268,3106,0.3106,632.6922,0.3106,1206,59.20%
,8529,0,0.250829112,3107,0.3107,632.8959,0.3107,1206,59.20%
,8670,0,0.250822092,3108,0.3108,633.0996,0.3108,1206,59.20%
,4280,0,0.250808168,3109,0.3109,633.3033,0.3109,1206,59.20%
,7559,1,0.250806812,3110,0.311,633.507,0.311,1207,59.30%
,8772,0,0.250785684,3111,0.3111,633.7107,0.3111,1207,59.30%
,9715,0,0.250717276,3112,0.3112,633.9144,0.3112,1207,59.30%
,5996,0,0.250683652,3113,0.3113,634.1181,0.3113,1207,59.30%
,734,1,0.250674829,3114,0.3114,634.3218,0.3114,1208,59.30%
,3973,0,0.250549805,3115,0.3115,634.5255,0.3115,1208,59.30%
,6443,0,0.250532564,3116,0.3116,634.7292,0.3116,1208,59.30%
,6394,0,0.25049095,3117,0.3117,634.9329,0.3117,1208,59.30%
,475,0,0.250463872,3118,0.3118,635.1366,0.3118,1208,59.30%
,4521,1,0.250462704,3119,0.3119,635.3403,0.3119,1209,59.40%
,923,1,0.250405723,3120,0.312,635.544,0.312,1210,59.40%
,4046,0,0.250352397,3121,0.3121,635.7477,0.3121,1210,59.40%
,9051,0,0.250352059,3122,0.3122,635.9514,0.3122,1210,59.40%
,6748,0,0.250299402,3123,0.3123,636.1551,0.3123,1210,59.40%
,7036,0,0.250295536,3124,0.3124,636.3588,0.3124,1210,59.40%
,3004,0,0.250206818,3125,0.3125,636.5625,0.3125,1210,59.40%
,9239,0,0.250138553,3126,0.3126,636.7662,0.3126,1210,59.40%
,1297,0,0.250066818,3127,0.3127,636.9699,0.3127,1210,59.40%
,2940,1,0.250021391,3128,0.3128,637.1736,0.3128,1211,59.50%
,3895,0,0.250015423,3129,0.3129,637.3773,0.3129,1211,59.50%
,3731,0,0.249950091,3130,0.313,637.581,0.313,1211,59.50%
,8372,1,0.249888203,3131,0.3131,637.7847,0.3131,1212,59.50%
,5689,0,0.249883694,3132,0.3132,637.9884,0.3132,1212,59.50%
,3104,0,0.24985122,3133,0.3133,638.1921,0.3133,1212,59.50%
,8342,0,0.249826711,3134,0.3134,638.3958,0.3134,1212,59.50%
,8729,0,0.249799426,3135,0.3135,638.5995,0.3135,1212,59.50%
,8417,0,0.249795414,3136,0.3136,638.8032,0.3136,1212,59.50%
,9071,0,0.249786501,3137,0.3137,639.0069,0.3137,1212,59.50%
,4126,0,0.249642772,3138,0.3138,639.2106,0.3138,1212,59.50%
,5356,0,0.249624933,3139,0.3139,639.4143,0.3139,1212,59.50%
,6489,0,0.249384663,3140,0.314,639.618,0.314,1212,59.50%
,4843,1,0.249370455,3141,0.3141,639.8217,0.3141,1213,59.50%
,187,0,0.249336515,3142,0.3142,640.0254,0.3142,1213,59.50%
,1771,1,0.249332439,3143,0.3143,640.2291,0.3143,1214,59.60%
,4960,0,0.249299704,3144,0.3144,640.4328,0.3144,1214,59.60%
,6377,1,0.249276504,3145,0.3145,640.6365,0.3145,1215,59.60%
,4561,0,0.249233949,3146,0.3146,640.8402,0.3146,1215,59.60%
,713,0,0.249159341,3147,0.3147,641.0439,0.3147,1215,59.60%
,4802,0,0.2490681,3148,0.3148,641.2476,0.3148,1215,59.60%
,2874,0,0.249039162,3149,0.3149,641.4513,0.3149,1215,59.60%
,1420,0,0.249020775,3150,0.315,641.655,0.315,1215,59.60%
,6890,0,0.248988005,3151,0.3151,641.8587,0.3151,1215,59.60%
,3770,0,0.248969265,3152,0.3152,642.0624,0.3152,1215,59.60%
,9433,0,0.24891744,3153,0.3153,642.2661,0.3153,1215,59.60%
,7931,0,0.248783318,3154,0.3154,642.4698,0.3154,1215,59.60%
,7697,1,0.248735861,3155,0.3155,642.6735,0.3155,1216,59.70%
,6055,1,0.248720126,3156,0.3156,642.8772,0.3156,1217,59.70%
,2554,1,0.248677986,3157,0.3157,643.0809,0.3157,1218,59.80%
,8588,0,0.248669495,3158,0.3158,643.2846,0.3158,1218,59.80%
,1175,1,0.248565248,3159,0.3159,643.4883,0.3159,1219,59.80%
,890,0,0.248390139,3160,0.316,643.692,0.316,1219,59.80%
,6992,1,0.248325524,3161,0.3161,643.8957,0.3161,1220,59.90%
,3138,1,0.248324366,3162,0.3162,644.0994,0.3162,1221,59.90%
,2829,0,0.248322559,3163,0.3163,644.3031,0.3163,1221,59.90%
,9153,0,0.24824554,3164,0.3164,644.5068,0.3164,1221,59.90%
,3904,0,0.248159505,3165,0.3165,644.7105,0.3165,1221,59.90%
,8199,1,0.248151042,3166,0.3166,644.9142,0.3166,1222,60.00%
,7594,0,0.248066615,3167,0.3167,645.1179,0.3167,1222,60.00%
,9143,0,0.248060278,3168,0.3168,645.3216,0.3168,1222,60.00%
,9562,0,0.248021161,3169,0.3169,645.5253,0.3169,1222,60.00%
,9144,0,0.24798034,3170,0.317,645.729,0.317,1222,60.00%
,7932,0,0.247893944,3171,0.3171,645.9327,0.3171,1222,60.00%
,931,0,0.247886042,3172,0.3172,646.1364,0.3172,1222,60.00%
,6384,0,0.247803499,3173,0.3173,646.3401,0.3173,1222,60.00%
,7291,0,0.247771363,3174,0.3174,646.5438,0.3174,1222,60.00%
,9246,0,0.247533959,3175,0.3175,646.7475,0.3175,1222,60.00%
,1615,0,0.247517235,3176,0.3176,646.9512,0.3176,1222,60.00%
,1054,0,0.247486793,3177,0.3177,647.1549,0.3177,1222,60.00%
,3412,0,0.247177159,3178,0.3178,647.3586,0.3178,1222,60.00%
,6079,0,0.247008188,3179,0.3179,647.5623,0.3179,1222,60.00%
,552,1,0.246955143,3180,0.318,647.766,0.318,1223,60.00%
,3132,0,0.246908553,3181,0.3181,647.9697,0.3181,1223,60.00%
,3526,0,0.246841019,3182,0.3182,648.1734,0.3182,1223,60.00%
,9630,0,0.246675095,3183,0.3183,648.3771,0.3183,1223,60.00%
,6324,0,0.246615992,3184,0.3184,648.5808,0.3184,1223,60.00%
,1675,1,0.246595451,3185,0.3185,648.7845,0.3185,1224,60.10%
,5525,0,0.246402527,3186,0.3186,648.9882,0.3186,1224,60.10%
,7721,0,0.246396727,3187,0.3187,649.1919,0.3187,1224,60.10%
,5122,0,0.24634286,3188,0.3188,649.3956,0.3188,1224,60.10%
,8810,0,0.246286644,3189,0.3189,649.5993,0.3189,1224,60.10%
,8445,0,0.246268394,3190,0.319,649.803,0.319,1224,60.10%
,4282,0,0.24621796,3191,0.3191,650.0067,0.3191,1224,60.10%
,9238,1,0.246151122,3192,0.3192,650.2104,0.3192,1225,60.10%
,387,0,0.246000338,3193,0.3193,650.4141,0.3193,1225,60.10%
,7456,1,0.245964991,3194,0.3194,650.6178,0.3194,1226,60.20%
,169,1,0.245945801,3195,0.3195,650.8215,0.3195,1227,60.20%
,7348,0,0.245927559,3196,0.3196,651.0252,0.3196,1227,60.20%
,9162,0,0.245885404,3197,0.3197,651.2289,0.3197,1227,60.20%
,148,0,0.245850171,3198,0.3198,651.4326,0.3198,1227,60.20%
,8895,0,0.245821032,3199,0.3199,651.6363,0.3199,1227,60.20%
,9378,0,0.2458163,3200,0.32,651.84,0.32,1227,60.20%
,6251,0,0.245756072,3201,0.3201,652.0437,0.3201,1227,60.20%
,1733,0,0.245399256,3202,0.3202,652.2474,0.3202,1227,60.20%
,3572,0,0.245375436,3203,0.3203,652.4511,0.3203,1227,60.20%
,653,0,0.245369156,3204,0.3204,652.6548,0.3204,1227,60.20%
,1697,0,0.245298336,3205,0.3205,652.8585,0.3205,1227,60.20%
,7578,0,0.24524509,3206,0.3206,653.0622,0.3206,1227,60.20%
,4220,0,0.245227561,3207,0.3207,653.2659,0.3207,1227,60.20%
,7736,1,0.245184569,3208,0.3208,653.4696,0.3208,1228,60.30%
,7957,0,0.245179747,3209,0.3209,653.6733,0.3209,1228,60.30%
,5084,0,0.245020011,3210,0.321,653.877,0.321,1228,60.30%
,7580,0,0.244965043,3211,0.3211,654.0807,0.3211,1228,60.30%
,6833,0,0.244955374,3212,0.3212,654.2844,0.3212,1228,60.30%
,9337,0,0.244852906,3213,0.3213,654.4881,0.3213,1228,60.30%
,7749,1,0.24484634,3214,0.3214,654.6918,0.3214,1229,60.30%
,9105,1,0.244814075,3215,0.3215,654.8955,0.3215,1230,60.40%
,8477,0,0.244750744,3216,0.3216,655.0992,0.3216,1230,60.40%
,3615,0,0.244683927,3217,0.3217,655.3029,0.3217,1230,60.40%
,6440,1,0.244671362,3218,0.3218,655.5066,0.3218,1231,60.40%
,8848,0,0.244653845,3219,0.3219,655.7103,0.3219,1231,60.40%
,4954,0,0.244646886,3220,0.322,655.914,0.322,1231,60.40%
,7400,0,0.244635268,3221,0.3221,656.1177,0.3221,1231,60.40%
,5965,0,0.244602551,3222,0.3222,656.3214,0.3222,1231,60.40%
,3685,0,0.244553317,3223,0.3223,656.5251,0.3223,1231,60.40%
,1037,0,0.24446625,3224,0.3224,656.7288,0.3224,1231,60.40%
,5093,1,0.244357732,3225,0.3225,656.9325,0.3225,1232,60.50%
,7728,0,0.244302728,3226,0.3226,657.1362,0.3226,1232,60.50%
,4998,1,0.244154361,3227,0.3227,657.3399,0.3227,1233,60.50%
,7620,0,0.244073488,3228,0.3228,657.5436,0.3228,1233,60.50%
,507,0,0.244059182,3229,0.3229,657.7473,0.3229,1233,60.50%
,4225,1,0.244055325,3230,0.323,657.951,0.323,1234,60.60%
,7646,0,0.244030056,3231,0.3231,658.1547,0.3231,1234,60.60%
,1173,0,0.243962251,3232,0.3232,658.3584,0.3232,1234,60.60%
,3769,0,0.24393117,3233,0.3233,658.5621,0.3233,1234,60.60%
,3863,0,0.243819355,3234,0.3234,658.7658,0.3234,1234,60.60%
,7919,0,0.243811496,3235,0.3235,658.9695,0.3235,1234,60.60%
,5329,0,0.243780089,3236,0.3236,659.1732,0.3236,1234,60.60%
,8257,0,0.243757785,3237,0.3237,659.3769,0.3237,1234,60.60%
,5926,0,0.24372524,3238,0.3238,659.5806,0.3238,1234,60.60%
,6798,0,0.243665419,3239,0.3239,659.7843,0.3239,1234,60.60%
,4891,0,0.24354174,3240,0.324,659.988,0.324,1234,60.60%
,9099,0,0.243512217,3241,0.3241,660.1917,0.3241,1234,60.60%
,4026,0,0.243459141,3242,0.3242,660.3954,0.3242,1234,60.60%
,4064,0,0.243405633,3243,0.3243,660.5991,0.3243,1234,60.60%
,6220,0,0.243280473,3244,0.3244,660.8028,0.3244,1234,60.60%
,5506,0,0.243235,3245,0.3245,661.0065,0.3245,1234,60.60%
,9146,0,0.243226477,3246,0.3246,661.2102,0.3246,1234,60.60%
,8896,0,0.243212079,3247,0.3247,661.4139,0.3247,1234,60.60%
,4105,1,0.242974307,3248,0.3248,661.6176,0.3248,1235,60.60%
,8068,0,0.242964926,3249,0.3249,661.8213,0.3249,1235,60.60%
,1862,0,0.242908808,3250,0.325,662.025,0.325,1235,60.60%
,2956,0,0.242904057,3251,0.3251,662.2287,0.3251,1235,60.60%
,8053,0,0.242892967,3252,0.3252,662.4324,0.3252,1235,60.60%
,4742,1,0.242788968,3253,0.3253,662.6361,0.3253,1236,60.70%
,2391,0,0.242733038,3254,0.3254,662.8398,0.3254,1236,60.70%
,2438,0,0.242710798,3255,0.3255,663.0435,0.3255,1236,60.70%
,9068,0,0.242645085,3256,0.3256,663.2472,0.3256,1236,60.70%
,4748,0,0.242552056,3257,0.3257,663.4509,0.3257,1236,60.70%
,4566,0,0.242510282,3258,0.3258,663.6546,0.3258,1236,60.70%
,8043,1,0.24248896,3259,0.3259,663.8583,0.3259,1237,60.70%
,8504,0,0.242450076,3260,0.326,664.062,0.326,1237,60.70%
,3273,1,0.242437838,3261,0.3261,664.2657,0.3261,1238,60.80%
,2259,0,0.242361093,3262,0.3262,664.4694,0.3262,1238,60.80%
,4096,0,0.242360939,3263,0.3263,664.6731,0.3263,1238,60.80%
,1366,1,0.242318561,3264,0.3264,664.8768,0.3264,1239,60.80%
,6007,0,0.242224095,3265,0.3265,665.0805,0.3265,1239,60.80%
,4059,0,0.242181071,3266,0.3266,665.2842,0.3266,1239,60.80%
,780,0,0.242178355,3267,0.3267,665.4879,0.3267,1239,60.80%
,93,0,0.242173449,3268,0.3268,665.6916,0.3268,1239,60.80%
,7951,0,0.242107511,3269,0.3269,665.8953,0.3269,1239,60.80%
,5541,1,0.242093595,3270,0.327,666.099,0.327,1240,60.90%
,9387,0,0.24208571,3271,0.3271,666.3027,0.3271,1240,60.90%
,4987,0,0.242078516,3272,0.3272,666.5064,0.3272,1240,60.90%
,1368,1,0.24194074,3273,0.3273,666.7101,0.3273,1241,60.90%
,6569,0,0.241917146,3274,0.3274,666.9138,0.3274,1241,60.90%
,9963,1,0.24184104,3275,0.3275,667.1175,0.3275,1242,61.00%
,8429,0,0.241813253,3276,0.3276,667.3212,0.3276,1242,61.00%
,2722,1,0.241761831,3277,0.3277,667.5249,0.3277,1243,61.00%
,2728,0,0.241675418,3278,0.3278,667.7286,0.3278,1243,61.00%
,7116,0,0.241609367,3279,0.3279,667.9323,0.3279,1243,61.00%
,7276,0,0.241451129,3280,0.328,668.136,0.328,1243,61.00%
,1399,1,0.24134404,3281,0.3281,668.3397,0.3281,1244,61.10%
,1718,1,0.241312465,3282,0.3282,668.5434,0.3282,1245,61.10%
,6521,0,0.241249504,3283,0.3283,668.7471,0.3283,1245,61.10%
,3742,1,0.241223466,3284,0.3284,668.9508,0.3284,1246,61.20%
,7113,0,0.241176723,3285,0.3285,669.1545,0.3285,1246,61.20%
,5929,0,0.240968245,3286,0.3286,669.3582,0.3286,1246,61.20%
,1388,0,0.24095878,3287,0.3287,669.5619,0.3287,1246,61.20%
,2403,0,0.240878155,3288,0.3288,669.7656,0.3288,1246,61.20%
,4993,1,0.240847958,3289,0.3289,669.9693,0.3289,1247,61.20%
,1330,1,0.240837388,3290,0.329,670.173,0.329,1248,61.30%
,1148,0,0.240834773,3291,0.3291,670.3767,0.3291,1248,61.30%
,3690,0,0.24082729,3292,0.3292,670.5804,0.3292,1248,61.30%
,5476,0,0.240816631,3293,0.3293,670.7841,0.3293,1248,61.30%
,8573,0,0.240793894,3294,0.3294,670.9878,0.3294,1248,61.30%
,1194,1,0.240741721,3295,0.3295,671.1915,0.3295,1249,61.30%
,2176,0,0.2406742,3296,0.3296,671.3952,0.3296,1249,61.30%
,3438,0,0.240657953,3297,0.3297,671.5989,0.3297,1249,61.30%
,5484,0,0.240651131,3298,0.3298,671.8026,0.3298,1249,61.30%
,8017,0,0.240591545,3299,0.3299,672.0063,0.3299,1249,61.30%
,9752,0,0.240507193,3300,0.33,672.21,0.33,1249,61.30%
,7465,1,0.240505888,3301,0.3301,672.4137,0.3301,1250,61.40%
,3494,0,0.240494281,3302,0.3302,672.6174,0.3302,1250,61.40%
,6598,0,0.240461324,3303,0.3303,672.8211,0.3303,1250,61.40%
,188,0,0.240404065,3304,0.3304,673.0248,0.3304,1250,61.40%
,7712,1,0.240137154,3305,0.3305,673.2285,0.3305,1251,61.40%
,764,0,0.240129803,3306,0.3306,673.4322,0.3306,1251,61.40%
,1180,0,0.24000932,3307,0.3307,673.6359,0.3307,1251,61.40%
,9349,0,0.239930887,3308,0.3308,673.8396,0.3308,1251,61.40%
,5412,0,0.239924972,3309,0.3309,674.0433,0.3309,1251,61.40%
,3382,0,0.239852656,3310,0.331,674.247,0.331,1251,61.40%
,9662,0,0.23976755,3311,0.3311,674.4507,0.3311,1251,61.40%
,4933,0,0.239762068,3312,0.3312,674.6544,0.3312,1251,61.40%
,2026,0,0.239691024,3313,0.3313,674.8581,0.3313,1251,61.40%
,5226,0,0.239685451,3314,0.3314,675.0618,0.3314,1251,61.40%
,3145,0,0.239591355,3315,0.3315,675.2655,0.3315,1251,61.40%
,7191,0,0.239562851,3316,0.3316,675.4692,0.3316,1251,61.40%
,6791,0,0.23955935,3317,0.3317,675.6729,0.3317,1251,61.40%
,8710,0,0.239515137,3318,0.3318,675.8766,0.3318,1251,61.40%
,6299,1,0.23950199,3319,0.3319,676.0803,0.3319,1252,61.50%
,4473,0,0.239479908,3320,0.332,676.284,0.332,1252,61.50%
,3190,0,0.239414453,3321,0.3321,676.4877,0.3321,1252,61.50%
,5024,0,0.239320102,3322,0.3322,676.6914,0.3322,1252,61.50%
,4514,0,0.239312459,3323,0.3323,676.8951,0.3323,1252,61.50%
,3417,0,0.239207921,3324,0.3324,677.0988,0.3324,1252,61.50%
,9198,0,0.238942928,3325,0.3325,677.3025,0.3325,1252,61.50%
,239,1,0.238934522,3326,0.3326,677.5062,0.3326,1253,61.50%
,2585,0,0.238918642,3327,0.3327,677.7099,0.3327,1253,61.50%
,3860,0,0.238868879,3328,0.3328,677.9136,0.3328,1253,61.50%
,7328,1,0.238818149,3329,0.3329,678.1173,0.3329,1254,61.60%
,7651,0,0.23866206,3330,0.333,678.321,0.333,1254,61.60%
,7502,0,0.238630341,3331,0.3331,678.5247,0.3331,1254,61.60%
,368,0,0.23843725,3332,0.3332,678.7284,0.3332,1254,61.60%
,2523,0,0.238405184,3333,0.3333,678.9321,0.3333,1254,61.60%
,4939,0,0.2383941,3334,0.3334,679.1358,0.3334,1254,61.60%
,5985,0,0.238347997,3335,0.3335,679.3395,0.3335,1254,61.60%
,9514,1,0.238225798,3336,0.3336,679.5432,0.3336,1255,61.60%
,6655,0,0.238223894,3337,0.3337,679.7469,0.3337,1255,61.60%
,5787,0,0.238212589,3338,0.3338,679.9506,0.3338,1255,61.60%
,89,1,0.238152021,3339,0.3339,680.1543,0.3339,1256,61.70%
,7431,0,0.238034809,3340,0.334,680.358,0.334,1256,61.70%
,8615,0,0.23792251,3341,0.3341,680.5617,0.3341,1256,61.70%
,2955,0,0.237852614,3342,0.3342,680.7654,0.3342,1256,61.70%
,5887,0,0.237817937,3343,0.3343,680.9691,0.3343,1256,61.70%
,9167,1,0.237777847,3344,0.3344,681.1728,0.3344,1257,61.70%
,6329,0,0.23777128,3345,0.3345,681.3765,0.3345,1257,61.70%
,8345,1,0.237711314,3346,0.3346,681.5802,0.3346,1258,61.80%
,5606,0,0.237693099,3347,0.3347,681.7839,0.3347,1258,61.80%
,125,0,0.237691561,3348,0.3348,681.9876,0.3348,1258,61.80%
,7170,0,0.237641069,3349,0.3349,682.1913,0.3349,1258,61.80%
,1591,0,0.237610123,3350,0.335,682.395,0.335,1258,61.80%
,2561,1,0.23748995,3351,0.3351,682.5987,0.3351,1259,61.80%
,7439,0,0.237414978,3352,0.3352,682.8024,0.3352,1259,61.80%
,9726,1,0.237382461,3353,0.3353,683.0061,0.3353,1260,61.90%
,9236,0,0.237378909,3354,0.3354,683.2098,0.3354,1260,61.90%
,844,1,0.237368482,3355,0.3355,683.4135,0.3355,1261,61.90%
,7323,1,0.237298164,3356,0.3356,683.6172,0.3356,1262,62.00%
,2049,0,0.23725732,3357,0.3357,683.8209,0.3357,1262,62.00%
,8314,0,0.237196231,3358,0.3358,684.0246,0.3358,1262,62.00%
,6243,0,0.237152274,3359,0.3359,684.2283,0.3359,1262,62.00%
,6555,0,0.237099672,3360,0.336,684.432,0.336,1262,62.00%
,8984,0,0.237018106,3361,0.3361,684.6357,0.3361,1262,62.00%
,7816,0,0.23697655,3362,0.3362,684.8394,0.3362,1262,62.00%
,6252,0,0.236961591,3363,0.3363,685.0431,0.3363,1262,62.00%
,4979,0,0.236888083,3364,0.3364,685.2468,0.3364,1262,62.00%
,3610,0,0.236824217,3365,0.3365,685.4505,0.3365,1262,62.00%
,4947,1,0.236793221,3366,0.3366,685.6542,0.3366,1263,62.00%
,7987,0,0.2367925,3367,0.3367,685.8579,0.3367,1263,62.00%
,320,0,0.236763091,3368,0.3368,686.0616,0.3368,1263,62.00%
,1797,0,0.236733515,3369,0.3369,686.2653,0.3369,1263,62.00%
,4075,0,0.236719399,3370,0.337,686.469,0.337,1263,62.00%
,1746,0,0.236624628,3371,0.3371,686.6727,0.3371,1263,62.00%
,3868,0,0.236581563,3372,0.3372,686.8764,0.3372,1263,62.00%
,7167,0,0.236571063,3373,0.3373,687.0801,0.3373,1263,62.00%
,6362,0,0.236570604,3374,0.3374,687.2838,0.3374,1263,62.00%
,2077,1,0.236481676,3375,0.3375,687.4875,0.3375,1264,62.10%
,4412,1,0.236459804,3376,0.3376,687.6912,0.3376,1265,62.10%
,2804,0,0.236400618,3377,0.3377,687.8949,0.3377,1265,62.10%
,8483,0,0.236336251,3378,0.3378,688.0986,0.3378,1265,62.10%
,9549,0,0.236326749,3379,0.3379,688.3023,0.3379,1265,62.10%
,7686,0,0.236271602,3380,0.338,688.506,0.338,1265,62.10%
,7290,0,0.236172123,3381,0.3381,688.7097,0.3381,1265,62.10%
,2784,0,0.236155479,3382,0.3382,688.9134,0.3382,1265,62.10%
,4237,0,0.236149483,3383,0.3383,689.1171,0.3383,1265,62.10%
,8867,0,0.236112078,3384,0.3384,689.3208,0.3384,1265,62.10%
,7050,1,0.236105048,3385,0.3385,689.5245,0.3385,1266,62.20%
,4631,0,0.236097696,3386,0.3386,689.7282,0.3386,1266,62.20%
,2307,0,0.23608076,3387,0.3387,689.9319,0.3387,1266,62.20%
,3609,0,0.236049295,3388,0.3388,690.1356,0.3388,1266,62.20%
,7304,0,0.235836912,3389,0.3389,690.3393,0.3389,1266,62.20%
,5182,0,0.235784598,3390,0.339,690.543,0.339,1266,62.20%
,5419,0,0.235783207,3391,0.3391,690.7467,0.3391,1266,62.20%
,7565,1,0.235678594,3392,0.3392,690.9504,0.3392,1267,62.20%
,3220,0,0.235599861,3393,0.3393,691.1541,0.3393,1267,62.20%
,3660,1,0.235442374,3394,0.3394,691.3578,0.3394,1268,62.20%
,8472,1,0.235442279,3395,0.3395,691.5615,0.3395,1269,62.30%
,6191,0,0.235417895,3396,0.3396,691.7652,0.3396,1269,62.30%
,394,1,0.235365195,3397,0.3397,691.9689,0.3397,1270,62.30%
,9452,1,0.235344342,3398,0.3398,692.1726,0.3398,1271,62.40%
,7066,0,0.235321985,3399,0.3399,692.3763,0.3399,1271,62.40%
,7552,0,0.235191638,3400,0.34,692.58,0.34,1271,62.40%
,2965,0,0.235084448,3401,0.3401,692.7837,0.3401,1271,62.40%
,4597,0,0.235074555,3402,0.3402,692.9874,0.3402,1271,62.40%
,7034,0,0.235029583,3403,0.3403,693.1911,0.3403,1271,62.40%
,7241,0,0.234956536,3404,0.3404,693.3948,0.3404,1271,62.40%
,5539,0,0.234918131,3405,0.3405,693.5985,0.3405,1271,62.40%
,1111,1,0.234737777,3406,0.3406,693.8022,0.3406,1272,62.40%
,9128,1,0.234690034,3407,0.3407,694.0059,0.3407,1273,62.50%
,5680,0,0.234672517,3408,0.3408,694.2096,0.3408,1273,62.50%
,424,0,0.234603494,3409,0.3409,694.4133,0.3409,1273,62.50%
,6404,1,0.234540212,3410,0.341,694.617,0.341,1274,62.50%
,4365,0,0.234465795,3411,0.3411,694.8207,0.3411,1274,62.50%
,4735,1,0.234460985,3412,0.3412,695.0244,0.3412,1275,62.60%
,408,0,0.234347773,3413,0.3413,695.2281,0.3413,1275,62.60%
,3490,0,0.234293768,3414,0.3414,695.4318,0.3414,1275,62.60%
,3307,0,0.234269293,3415,0.3415,695.6355,0.3415,1275,62.60%
,3378,1,0.234260407,3416,0.3416,695.8392,0.3416,1276,62.60%
,5312,0,0.23405821,3417,0.3417,696.0429,0.3417,1276,62.60%
,3465,0,0.234052295,3418,0.3418,696.2466,0.3418,1276,62.60%
,6462,0,0.234017807,3419,0.3419,696.4503,0.3419,1276,62.60%
,9943,0,0.233634478,3420,0.342,696.654,0.342,1276,62.60%
,5310,0,0.233627724,3421,0.3421,696.8577,0.3421,1276,62.60%
,3014,0,0.233497517,3422,0.3422,697.0614,0.3422,1276,62.60%
,1637,0,0.23338553,3423,0.3423,697.2651,0.3423,1276,62.60%
,2714,0,0.233290696,3424,0.3424,697.4688,0.3424,1276,62.60%
,1872,0,0.233231102,3425,0.3425,697.6725,0.3425,1276,62.60%
